5,1,648,16,10,2,3,0,4,1,1,0,0,1,1,0,5,0,0,0,0,0,0,0,1,0,0
3,1,29,3,6,2,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,2,0,0,0,0,0,0,1,1,1,0
3,1,0,0,6,0,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0
1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2,3,2777,28,2,0,0,3,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
5,1,29,3,6,1,0,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,2,0,1,1,1,6,0,0,0,0,0
3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,86,10,9,2,0,3,4,1,1,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0
1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0
5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0
3,1,208,9,5,1,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,1,1
4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0
5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,6,4,0,0,0,0,0,0,0,1,0
